hash_num, bucket_size
0,	0
1,	0
2,	0
3,	0
4,	0
5,	0
6,	0
7,	0
8,	0
9,	0
10,	0
11,	0
12,	0
13,	0
14,	0
15,	0
16,	0
17,	0
18,	0
19,	0
20,	0
21,	0
22,	0
23,	0
24,	0
25,	0
26,	0
27,	0
28,	0
29,	0
30,	0
31,	0
32,	3
33,	1
34,	0
35,	1
36,	3
37,	2
38,	4
39,	1
40,	1
41,	2
42,	1
43,	3
44,	1
45,	0
46,	0
47,	0
48,	1
49,	3
50,	0
51,	1
52,	0
53,	1
54,	1
55,	0
56,	1
57,	2
58,	1
59,	0
60,	0
61,	2
62,	0
63,	2
64,	0
65,	2
66,	3
67,	1
68,	1
69,	0
70,	2
71,	1
72,	1
73,	0
74,	0
75,	2
76,	0
77,	1
78,	0
79,	3
80,	0
81,	1
82,	1
83,	2
84,	1
85,	0
86,	0
87,	2
88,	0
89,	0
90,	0
91,	1
92,	1
93,	2
94,	2
95,	1
96,	0
97,	0
98,	0
99,	0
100,	0
101,	0
102,	0
103,	0
104,	0
105,	0
106,	0
107,	0
108,	0
109,	0
110,	0
111,	0
112,	0
113,	0
114,	0
115,	0
116,	0
117,	0
118,	0
119,	0
120,	0
121,	0
122,	0
123,	0
124,	0
125,	0
126,	0
127,	0
128,	0
129,	0
130,	0
131,	0
132,	0
133,	0
134,	0
135,	0
136,	0
137,	0
138,	0
139,	0
140,	0
141,	0
142,	0
143,	0
144,	0
145,	0
146,	0
147,	0
148,	0
149,	0
150,	0
151,	0
152,	0
153,	0
154,	0
155,	0
156,	0
157,	0
158,	0
159,	0
160,	2
161,	0
162,	3
163,	2
164,	1
165,	1
166,	0
167,	2
168,	0
169,	1
170,	3
171,	2
172,	0
173,	0
174,	5
175,	0
176,	2
177,	1
178,	1
179,	1
180,	3
181,	0
182,	4
183,	0
184,	2
185,	1
186,	1
187,	1
188,	2
189,	1
190,	1
191,	0
192,	1
193,	1
194,	1
195,	1
196,	0
197,	1
198,	1
199,	2
200,	2
201,	1
202,	0
203,	1
204,	2
205,	0
206,	1
207,	1
208,	0
209,	0
210,	1
211,	1
212,	0
213,	1
214,	0
215,	0
216,	2
217,	0
218,	0
219,	1
220,	0
221,	3
222,	3
223,	0
224,	0
225,	0
226,	0
227,	0
228,	0
229,	0
230,	0
231,	0
232,	0
233,	0
234,	0
235,	0
236,	0
237,	0
238,	0
239,	0
240,	0
241,	0
242,	0
243,	0
244,	0
245,	0
246,	0
247,	0
248,	0
249,	0
250,	0
251,	0
252,	0
253,	0
254,	0
255,	0
256,	0
257,	0
258,	0
259,	0
260,	0
261,	0
262,	0
263,	0
264,	0
265,	0
266,	0
267,	0
268,	0
269,	0
270,	0
271,	0
272,	0
273,	0
274,	0
275,	0
276,	0
277,	0
278,	0
279,	0
280,	0
281,	0
282,	0
283,	0
284,	0
285,	0
286,	0
287,	0
288,	2
289,	2
290,	1
291,	3
292,	0
293,	2
294,	3
295,	1
296,	3
297,	1
298,	7
299,	2
300,	3
301,	2
302,	2
303,	1
304,	0
305,	1
306,	1
307,	1
308,	1
309,	0
310,	0
311,	2
312,	1
313,	2
314,	2
315,	3
316,	2
317,	1
318,	0
319,	1
320,	1
321,	2
322,	0
323,	0
324,	2
325,	1
326,	1
327,	1
328,	3
329,	1
330,	1
331,	0
332,	1
333,	2
334,	2
335,	1
336,	2
337,	1
338,	1
339,	0
340,	2
341,	2
342,	1
343,	0
344,	2
345,	1
346,	2
347,	1
348,	1
349,	0
350,	1
351,	0
352,	0
353,	0
354,	0
355,	0
356,	0
357,	0
358,	0
359,	0
360,	0
361,	0
362,	0
363,	0
364,	0
365,	0
366,	0
367,	0
368,	0
369,	0
370,	0
371,	0
372,	0
373,	0
374,	0
375,	0
376,	0
377,	0
378,	0
379,	0
380,	0
381,	0
382,	0
383,	0
384,	0
385,	0
386,	0
387,	0
388,	0
389,	0
390,	0
391,	0
392,	0
393,	0
394,	0
395,	0
396,	0
397,	0
398,	0
399,	0
400,	0
401,	0
402,	0
403,	0
404,	0
405,	0
406,	0
407,	0
408,	0
409,	0
410,	0
411,	0
412,	0
413,	0
414,	0
415,	0
416,	3
417,	0
418,	0
419,	1
420,	2
421,	1
422,	2
423,	3
424,	1
